epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
67,420.22,0.62048,0.33229,0.00099,0.80755,0.83762,0.84386,0.73312,0.52598,0.43439,0.00138,0.000569375,0.000569375,0.000569375
68,426.128,0.59032,0.31106,0.00095,0.82445,0.83354,0.84555,0.74127,0.52212,0.4185,0.00135,0.000559062,0.000559062,0.000559062
69,431.99,0.63916,0.35285,0.00096,0.81105,0.83688,0.8412,0.71986,0.51132,0.42093,0.00136,0.00054875,0.00054875,0.00054875
70,437.695,0.5732,0.31766,0.00091,0.80582,0.88506,0.84206,0.74006,0.44355,0.3964,0.00117,0.000538438,0.000538438,0.000538438
71,443.431,0.56255,0.30844,0.00091,0.79092,0.8756,0.81859,0.72043,0.45033,0.41768,0.00121,0.000528125,0.000528125,0.000528125
72,449.226,0.53172,0.30054,0.00085,0.80321,0.86893,0.84199,0.74493,0.43051,0.40129,0.00117,0.000517813,0.000517813,0.000517813
73,455.341,0.53037,0.29015,0.00086,0.83517,0.78944,0.82569,0.72606,0.44355,0.386,0.00121,0.0005075,0.0005075,0.0005075
74,461.642,0.54807,0.31264,0.00084,0.81315,0.90351,0.85082,0.75626,0.43297,0.36649,0.00117,0.000497188,0.000497188,0.000497188
75,467.712,0.54946,0.30478,0.00088,0.80551,0.84871,0.82349,0.72854,0.44895,0.3925,0.0012,0.000486875,0.000486875,0.000486875
76,473.641,0.56518,0.31561,0.00088,0.80972,0.86763,0.84021,0.7459,0.45087,0.39288,0.00119,0.000476562,0.000476562,0.000476562
77,479.668,0.55521,0.28992,0.00083,0.80591,0.86879,0.83785,0.73037,0.43935,0.38933,0.00116,0.00046625,0.00046625,0.00046625
78,485.89,0.54689,0.28643,0.00089,0.81181,0.86939,0.84214,0.74839,0.48672,0.41858,0.00129,0.000455937,0.000455937,0.000455937
79,493.253,0.5565,0.28864,0.00087,0.79915,0.85548,0.84669,0.73954,0.43076,0.39861,0.00117,0.000445625,0.000445625,0.000445625
80,500.021,0.528,0.28924,0.00083,0.81124,0.80345,0.81434,0.72034,0.45123,0.43238,0.00121,0.000435312,0.000435312,0.000435312
81,506.374,0.54245,0.29865,0.00082,0.80919,0.86928,0.82617,0.73334,0.43146,0.40956,0.00115,0.000425,0.000425,0.000425
82,512.995,0.53362,0.29393,0.00085,0.80088,0.87064,0.81974,0.7234,0.44082,0.40898,0.00117,0.000414688,0.000414688,0.000414688
83,519.721,0.50739,0.27915,0.00083,0.81757,0.86848,0.84285,0.74647,0.41701,0.40031,0.00113,0.000404375,0.000404375,0.000404375
84,526.177,0.52953,0.28829,0.00082,0.81257,0.87009,0.8417,0.73654,0.41912,0.3961,0.00112,0.000394063,0.000394063,0.000394063
85,533.206,0.5302,0.2847,0.00085,0.80826,0.8885,0.83184,0.741,0.42769,0.40486,0.00113,0.00038375,0.00038375,0.00038375
86,539.908,0.55093,0.30178,0.00087,0.7974,0.8491,0.82492,0.73735,0.44122,0.41229,0.00117,0.000373437,0.000373437,0.000373437
87,546.884,0.5341,0.29015,0.00085,0.79754,0.84987,0.82106,0.73383,0.41151,0.4097,0.00109,0.000363125,0.000363125,0.000363125
88,554.239,0.52226,0.29047,0.0008,0.7914,0.87504,0.83407,0.74168,0.42368,0.40081,0.00112,0.000352812,0.000352812,0.000352812
89,560.772,0.50967,0.26152,0.0008,0.80924,0.88579,0.834,0.74636,0.44149,0.41064,0.00119,0.0003425,0.0003425,0.0003425
90,566.961,0.52565,0.28079,0.00083,0.81702,0.85277,0.83325,0.74225,0.45497,0.40205,0.00121,0.000332187,0.000332187,0.000332187
91,573.152,0.52746,0.28856,0.00081,0.81517,0.85273,0.83349,0.73801,0.43263,0.38376,0.00115,0.000321875,0.000321875,0.000321875
92,580.303,0.51931,0.28327,0.00081,0.81558,0.8514,0.83663,0.73866,0.41706,0.40402,0.0011,0.000311563,0.000311563,0.000311563
93,586.751,0.5144,0.27266,0.00079,0.79434,0.87199,0.83894,0.73513,0.41138,0.40209,0.00109,0.00030125,0.00030125,0.00030125
94,593.11,0.50688,0.27655,0.0008,0.79124,0.88195,0.83363,0.73233,0.4152,0.40272,0.0011,0.000290937,0.000290937,0.000290937
95,599.499,0.51424,0.27749,0.00079,0.84848,0.82868,0.82626,0.72624,0.41855,0.40155,0.00112,0.000280625,0.000280625,0.000280625
96,606.012,0.50123,0.27574,0.00081,0.8244,0.82111,0.81954,0.72438,0.40522,0.39704,0.00108,0.000270313,0.000270313,0.000270313
97,613.047,0.53001,0.28954,0.00083,0.80329,0.83762,0.82076,0.7322,0.40465,0.39052,0.00109,0.00026,0.00026,0.00026
98,618.971,0.50639,0.26541,0.00082,0.79098,0.88579,0.81492,0.72532,0.41128,0.38078,0.00112,0.000249687,0.000249687,0.000249687
99,624.894,0.48536,0.26087,0.00078,0.79472,0.87199,0.80251,0.7168,0.42617,0.39628,0.00116,0.000239375,0.000239375,0.000239375
100,630.732,0.52895,0.27728,0.00081,0.78443,0.8885,0.81697,0.72569,0.42784,0.41221,0.00114,0.000229063,0.000229063,0.000229063
101,636.689,0.49889,0.27113,0.00078,0.78897,0.88797,0.81375,0.72397,0.40467,0.39565,0.00109,0.00021875,0.00021875,0.00021875
102,642.487,0.48699,0.26415,0.00075,0.79631,0.88217,0.82497,0.72886,0.43262,0.40019,0.00113,0.000208438,0.000208438,0.000208438
